date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2019-02-05,Bistro Mnamka,"Hraskova kremova s pecenou klobasou (1,7)","Kuracie vyprazane plnene nivou, zemiakova kasa, salat (1,7)","Pecena krkovicka, dusena biela kapusta, domaca parena knedla (1,3,7)","Salat caprese , bazalkovy dresing, pizza chlieb (1,3,7)","Domace parene buchty s vanilkovym kremom, orechovy alebo makovy posyp (1,3,7)"
2019-02-05,BlueBear,Sosovicova s udenou paprikou,Kuraci paprikas s haluskami a kyslou uhorkou,Jahnaci gyros so zeleninou a divou ryzou,Marinovany zeleninovy spiz s cicerovym pyre a valerianom,
2019-02-05,Dilema,Fazulova s masom a klobaskou &#8211;,"Menu  Vyprazany kuraci rezen v mandlovej struhanke, 0.5 ryza 0.5 hranolky, salat /1,3,7/","Menu 2 Hovadzie sote so salotkou a sampinonmi, dusena ryza","Menu 3 Bryndzove halusky so slaninkou /1,7","Menu 4 150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7/"
2019-02-05,Kasa 3,Indicka sosovicova,Zapekany karfiol s brokolicou a zemiakmi (7),Morka na hrasku s mrkvou,,
2019-02-05,Mestiansky piv.,"Paradajkova so syrom1, 7","Kuraci pfeffer steak s dusenou ryzou a uhorkovym salatom1,7,10","Zemiakovy privarok so stefanskou sekanou1, 3, 7",,
2019-02-05,Veglife,"Fazulova polievka s korenovou zeleninou (B,V)","Cviklove fasirky, indicke zemiaky","Cicerovo-bananove kari so spenatom, pecene zemiaky B,V,P","Spagetova torta s nivou, tofu, sampinonmi a paradajkami","Hlivovo-sampinonovy gulas, ryza natural B,V"
2019-02-06,Bistro Mnamka,"Slepaci vyvar s masom a zeleninou (1,3,7,9)","Penne Quattro formaggi s kuracim masom (1,7)","Bravcovy steak s fazulkami na slaninke, domace americke zemiaky","Salat s grilovanym tofu, balzamikovo-medovy dresing , pizza chlieb (1,3,7)","Domace parene buchty s vanilkovym kremom, orechovy alebo makovy posyp (1,3,7)"
2019-02-06,BlueBear,Kukuricny krem s hraskom,Ryzovy nakyp s hrozienkami,Grilovany bravcovy steak na hribovom ragu s dusenou ryzou ( menu grilovane &#8211;  gril Big Green Egg   ),Peceny zeleninovy wellington na listovom salate s quinoou,
2019-02-06,Dilema,Porkova s mrkvou a kalerabom,"Menu 1 Marinovany kuraci steak s volskym okom, 0.5 ryza 0.5 opekane zemiaky, coleslaw salat /7/","Menu 2 Segedinsky gulas, parena knedla /1,7/","Menu 3 Domace sisky s jahodovou penou /1,3,7/","Menu 4 150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7/"
2019-02-06,Kasa 3,Paradajkova (9),Zeleninove curry s kokosovym mliekom (9),"Hovadzie na mongolsky sposob (6, 11)",,
2019-02-06,Mestiansky piv.,"Hovadzi vyvar s celestinskymi rezancami1,3,7,9","Hovadzi madarsky gulas, domaca kysnuta knedla 1,3,7","Vyprazany syr s americkymi zemiakmi a tatarskou omackou1,3,7",,
2019-02-06,Veglife,"Tom-Kha -Thajska polievka (B,V,P)","Cicerovy falafel, petrzlenove zemiaky B","Seitan na cervenom kari s porom a sampinonmi, ryza natural V","Tekvicovo-gastanove psenoto so semiackami B,V","Karfiolovo-mrkovovy nakyp, pecene zemiaky"
2019-02-07,Bistro Mnamka,Frankfurtska s parkom (1),"Pecene kuracie stehno, dusena ryza, broskynovy kompot","Tekvicovo-cuketove placky, zemiakova kasa, uhorkovy salat (1,3,7)","Caesar salat, krutony (1,3,7)","Domace parene buchty s vanilkovym kremom, orechovy alebo makovy posyp (1,3,7)"
2019-02-07,BlueBear,Hrachova s pecenym cesnakovym krutonom,Bravcovy cernohorsky rezen so syrom a pecenymi zemiakmi,Kuraci steak na maslovych pretlacanych zemiakoch so smotanovym porom,Brokolicove rizoto s kukuricou a bylinkovym pestom,
2019-02-07,Dilema,Kapustnica /7/ &#8211;,"Kuracia rolka plnena spenatom a mozzarellou v listkovom cesticku, dusena ryza, cesnakovy dip /1,7/","Bravcove dusene stehno, tarhona, kapustovy salat /1/","Vyprazana Aljasska treska, majonezovy salat /1,3,7/","150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7"
2019-02-07,Kasa 3,Zemiakova na paprike,"Sosovicove ragu s tahini a spenatom (9, 11)",Kuracie meatballs v paradajkovej omacke (9),,
2019-02-07,Mestiansky piv.,"Luskova na kyslo1, 7","Kuracie sote v zemiakovej placke so syrom a kapustovym salatom1,3,7","Bravcove rizoto s hribami, rukolou a syrom7",,
2019-02-07,Veglife,"Kelova polievka s miso pastou (B,V)","Robi rezance na sezame a zelenej fazulke, ryza natural V","Zimny ratatouille, pecene zemiaky B,V","Bataty v arasidovej omacke, ryza natural B,V","Karfiolovy rezen so syrom, pazitkove zemiaky"
2019-02-08,Bistro Mnamka,ZAVRETE,"NA","NA","NA","NA"
2019-02-08,BlueBear,Spenatova so zemiakmi,Bravcovy cernohorsky rezen so syrom a pecenymi zemiakmi,Morcacie rezanceky na cinsky sposob s ryzovymi rezancami,Zapekany plneny zemiak s bryndzou a mladou cibulkou,
2019-02-08,Dilema,"Hraskovy krem s krutonmi /1,7/","Kuraci rezen v cesticku plneny sunkou a nivou, dusena ryza, coleslaw salat /1,3,7/","Kelovy privarok s grilovanou klobaskou, chlieb /1/","Vyprazany syr, hranolky, tatarska omacka /1,3,7/","150g Grilovane kacacie prsia na miesanom salate s kari dressingom, toast /7/"
2019-02-08,Kasa 3,Zeleninovy krem (9),Falafelove placky (11),Bravcovy segedin (7),,
2019-02-08,Mestiansky piv.,Minestrone,"Pecene bravcove pliecko s dusenou cervenou kapustou a kysnutou knedlou1,3,7","Vyprazane rybie file s varenymi zemiakmi s bylinkovym dressingom1,3,4,7",,
2019-02-08,Veglife,"Kukuricova TexMex polievka (B,V)","Hrachovy dhal, ryza basmati B,V","Nivove prazienky, zemiakove pyre s maslom",Fregola sarda s paradajkami,"Grilovane tofu na spenate, pecene zemiaky B,V"
2019-02-11,Bistro Mnamka,"Jarna zeleninova s haluskami (1,7)","Kuracie rizoto so safranom, susene paradajky , parmezan (7)","Vyprazane rybie file, slovensky zemiakovy salat (1,3,7)","Salat s kuracimi nugetkami v corn flakes, cesnakovy dresing, pizza chlieb (1,3,7)","Tirolska parena buchta, poliata maslom, orechami a bielou cokoladou (1,3,7)"
2019-02-11,BlueBear,Mrkvovy krem,Plneny kapustny list s paradajkovou omackou a varenymi zemiakmi,Bravcove rezanceky s hraskom a dusenou ryzou,Kremove kukuricne psenoto s rukolou,
2019-02-11,Dilema,"Cesnakovy krem s krutonmi /1,7/","Kuraci steak pfeffer s bylinkovym maslom, 0.5 ryza 0.5 hranolky, salat /7/","Masove gulky v paradajkovej omacke, varene zemiaky s vnatkou /3/","Spagety Carbonara so struhanym syrom a cerstvym spenatom /1,3,7/","180g Vyprazany kuraci Cordon Bleu, zemiaky na grile, tatarska omacka /1,3,7/"
2019-02-11,Kasa 3,Spenatova polievka,Cicerovy Dahl,Krkovicka na horcici (10),,
2019-02-11,Mestiansky piv.,"Francuzska cibulacka so syrom a krutonmi1,7","Hovadzi stroganov, dusena ryza1,7","Vyprazany karfiol, varene zemiaky, tatarska omacka1,3,7",,
2019-02-11,Veglife,"Zeleninova polievka so psenom (B,V)","Pohankove gulky v paradajkovej omacke, pecene zemiaky B,V","Spenatovy nakyp s fetou, zemiakove pyre s maslom","Cviklove ragu s kyslou kapustou na majorane, ryza natural B,V",Tekvicove krupoto so spaldou a pecenymi rajcinami
2019-02-12,Bistro Mnamka,"Sosovicova so zeleninou (1,3,7)","Kuraci gyros, pol ryza pol domace hranolky, tzatziky salat (7)","Francuzske zemiaky, kysle uhorky (3,7)","Salat s vyprazanou mozzarellou, bylinkovo majonezovy dresing, pizza chlieb (1,3,7)","Tirolska parena buchta, poliata maslom, orechami a bielou cokoladou (1,3,7)"
2019-02-12,BlueBear,Paradajkova minestrone polievka,Plneny kapustny list s paradajkovou omackou a varenymi zemiakmi,"Vyprazany kuraci rezen plneny modrym syrom, pretlacane zemiaky","Miesany listovy salat s tuniakom, kukuricou a vajickom, medovo horcicovy dip",
